TradingDate,STB,VIC,SSI,MSN,FPT,HAG,KDC,EIB,DPM,VNM,REE,OGC,IJC,VCB,PNJ,BVH,ITA,HPG,CTG,SJS,QCG,PVD,CII,SBT,VSH,KDH,DIG,HVG,GMD
2017-01-03,8790.0,30559.0,8804.0,33664.0,15741.0,5350.0,28911.0,7875.0,12788.0,69459.0,17301.0,1300.0,4753.0,27400.0,22018.0,51737.0,3940.0,6869.0,11104.0,18484.0,3192.0,14325.0,27841.0,21262.0,12661.0,9209.0,3945.0,8900.0,17687.0
2017-01-04,8200.0,30889.0,8804.0,34258.0,15881.0,5500.0,28911.0,8208.0,12932.0,69569.0,17301.0,1250.0,4776.0,27216.0,22084.0,52435.0,3940.0,6869.0,11311.0,18211.0,3246.0,14738.0,28260.0,20771.0,12539.0,9209.0,3971.0,9240.0,17655.0
2017-01-05,8580.0,31073.0,8826.0,34042.0,15828.0,5400.0,28437.0,7958.0,12846.0,69459.0,17508.0,1240.0,4892.0,27327.0,22117.0,53307.0,4150.0,6884.0,11379.0,18445.0,3282.0,14704.0,28027.0,20608.0,12297.0,8956.0,3987.0,9430.0,17720.0
2017-01-06,8780.0,31661.0,8914.0,34096.0,15776.0,5360.0,28200.0,8125.0,12673.0,69076.0,17301.0,1240.0,5037.0,27878.0,22744.0,53569.0,4180.0,6775.0,11483.0,18406.0,3084.0,14669.0,28912.0,20526.0,12499.0,9094.0,4038.0,9360.0,18182.0
2017-01-09,8990.0,31734.0,9002.0,33773.0,15864.0,5230.0,28595.0,8108.0,12932.0,69076.0,17231.0,1230.0,5025.0,28467.0,23074.0,53744.0,4110.0,6736.0,11793.0,18328.0,3138.0,14807.0,30076.0,20444.0,12539.0,9094.0,4126.0,9260.0,18182.0
2017-01-10,9000.0,31514.0,8936.0,34366.0,16144.0,5220.0,28319.0,8000.0,13248.0,69130.0,16747.0,1270.0,4950.0,28246.0,23041.0,53046.0,4100.0,6845.0,11655.0,18211.0,3138.0,14600.0,29610.0,20362.0,12620.0,9094.0,4126.0,9160.0,18017.0
2017-01-11,9030.0,31587.0,8914.0,34150.0,16179.0,5180.0,28437.0,8000.0,13162.0,69624.0,17093.0,1280.0,4961.0,28283.0,22909.0,53133.0,4090.0,6869.0,12207.0,18484.0,3084.0,14669.0,29797.0,20362.0,12539.0,9140.0,4100.0,9210.0,18840.0
2017-01-12,9040.0,31587.0,8980.0,33827.0,16127.0,5210.0,28437.0,8000.0,13995.0,69624.0,17301.0,1280.0,5025.0,27878.0,22909.0,54529.0,4080.0,6814.0,12138.0,18718.0,3156.0,14876.0,28493.0,20035.0,12539.0,9140.0,4069.0,9260.0,18906.0
2017-01-13,8950.0,31808.0,9002.0,33827.0,15758.0,5080.0,29464.0,8000.0,14311.0,69569.0,17370.0,1290.0,5025.0,27547.0,22810.0,54093.0,4070.0,6744.0,11931.0,18718.0,3246.0,14669.0,29424.0,20444.0,12459.0,9140.0,4074.0,9190.0,19071.0
2017-01-16,8960.0,31477.0,8958.0,33827.0,15442.0,5080.0,30096.0,8000.0,14024.0,69350.0,17301.0,1310.0,4863.0,27474.0,22711.0,53744.0,4020.0,6556.0,11860.0,18250.0,3066.0,14463.0,28959.0,20035.0,12620.0,9140.0,4069.0,9050.0,18807.0
